person_id,institution,program
1258,MANATEE HIGH SCHOOL,GENERAL STUDIES
1259,Military Technical School in Maintenance Data Systems Analysis,Maintenance Data Systems Analysis
1260,Oxford English Medium School,
1262,Bachelor's,
1263,John Jay College,Master of Public Administration in Policy Analysis and Computer Security
1265,,
1266,The University of Technology,Bachelor of Science in Information Technology
1267,"University of Minnesota, University of Saint Thomas","Bachelor of Arts, Mini-Masters of Information Technology in Education"
1268,Master's,
1269,University Of Maryland University College,Master of Science in Information Technology in Information Technology
1271,University of Oklahoma,B.B.A. in Business Management
1272,Madras University,Bachelors in Engineering
1274,Longwood University,BS in Math and Computer Science
1275,Metropolitan State University of Denver,Bachelor of Science in Computer information Systems
1276,Strayer University,Master's in Management Information Systems
1277,"KCA UNIVERSITY, University of nairobi","Diploma in information technogy, Masters in information technology management, Bachelor of science in information technology"
1278,"New Horizons Computer Learning Center, New York City Technical College, City University of New York, LaGuardia Community College, City University of New York","Bachelor of Technology in Computer Systems, Associates Degree in Network System Administrator"
1280,Florida Atlantic University,"MBA in Advance Project Leadership Business Administration, BA in Management Information System, MIS"
1281,"University of Phoenix, Delcastle Technical High School","Associate of the Arts in IT/Network Administration, Diploma"
1282,University of Phoenix,Bachelor of Science in E-Business
1283,"Alverno College, Milwaukee Area Technical College","BA in Business Management, Database Management"
1284,Des Moines Area Community College,Associate in Business Information Systems
1285,"Medical University of Sailesia, Brooklyn College - Brooklyn, NY","M.D. in Medicine, Bachelor in Science in Phycology"
1286,"University of Maryland, University of Phoenix","Masters in IT in Database Systems Technology, Bachelor of Science in Information Technology in Information Technology"
1287,"SYRACUSE UNIVERSITY, VIRGINIA STATE","MASTERS OF SCIENCE in Management of Information Systems, BACHELORS OF SCIENCE in Biology"
1288,Frostburg State University,Masters Degree in Computer Science
1289,University of Massachusetts - Lowell,"Master of Science in Information Technology, Bachelor of Science in Information Technology"
1290,,
1291,Oral Roberts University,Bachelor of Science in Accounting
1292,P.S.G. College of Technology,Bachelor of Engineering in Engineering
1293,"Cuyahoga Community College, Sinclair College","Associate of Applied Science in Health Information Management, Business and Marketing Management"
1294,Universidad of Salta,Bachelor of Science in Computer Science
1296,"Tulane University, Miles College","Master of Public Health in Public Health, Bachelor of Science in Business Administration"
1297,"PENN STATE, State College, MECRYHURST COLLEGE - Erie, PA","MIS, Certificate in Accounting, Bachelor of Science in Industrial Psychology"
1298,Visvesvaraya Technological University,Bachelor of Engineering in Computer Science
1299,Glenville State College,English/Marketing
1300,Oklahoma State University,Associate in Applied Sciences in Computer Science
1301,"University of Hawaii West Oahu, Community College of the Air Force","Associates of Science in Aeronautical Engineer, Bachelor of Science in Information Technology Management"
1302,University of Texas at San Antonio,"Masters of Science in Mechanical Engineering, Bachelors of Science in Mechanical Engineering, Bachelors of Business Administration in Business Management"
1303,"Seattle Pacific University, North Seattle College","Bachelor of Arts in Computer Science, Associate of Science in Computer Service Technology"
1304,"Bellevue Community College, Shoreline Community College","Computer Science, Visual Communications and Technology"
1305,"Capella University, College of Business, University of Cincinnati","Master's in Data Assurance & Information Security, Bachelor's in Information Systems"
1306,"SOUTHERN NEW HAMPSHIRE UNIVERSITY, ASHFORD UNIVERSITY","Master's in Cyber Security - IT Management, B.A. in Law Enforcement Administration in Law Enforcement Administration"
1307,,
1308,SAN DIEGO MIRAMAR COLLEGE,B.S. Computer Science
1309,High school,High school or equivalent
1310,"Old Dominion University, Radford University, Kempsville High School",
1311,"Atoka high school, SOSU, NSU, KTC Atoka, PTC","Pre-Nurse, General, Marketing, nursing, Nursing"
1312,"Western Governors University, Cincinnati State Technical and Community College","BS in Cybersecurity and Information Assurance, AAS in Business Programming and Systems Analysis"
1313,Central Connecticut State University,Bachelors of Science degree in Computer Engineering Technology
1314,"New York Institute of Beauty, Patchogue-Medford High School","Esthetics, High School Diploma"
1315,Park University,"Bachelor's in Social Work, Bachelor's in Sociology"
1316,"New York Medical College, South University, St. Thomas Aquinas College","Master's in Public Health Administration, Associate of Science in Allied Health Science, Bachelor of Science in Business Administration"
1317,English American School,
1318,University of Southern California,B.A. in Cinema History
1319,George Mason University,BACHELOR OF SCIENCE in English
1320,"Thomas Jefferson University, Federal University of Technology Akure","MBA in Finance, Bachelor's in management"
1321,"BOSTON UNIVERSITY, GEORGE MASON UNIVERSITY","Master of Science in Computer Information Systems, Bachelor of Science in Health Science"
1322,"University of Greenwich, NIIT INDIAN","Bachelor of Science in Computer Science, Associate of Science in Computer engineering"
1323,Borough of Manhattan Community College,Associates in Professional
1327,"University of California-San Diego, Orange Coast College","Bachelor's in Cognitive Science, Certification in C++ Programming in Pursuing Computer Science Engineering"
1328,Monroe College,BS in Information Technology
1329,"Northwestern University, Millikin University, Monmouth College","Bachelor's in Electrical Engineering, Master's in Business Administration, Data Management, Bachelor's in Computer Science"
1330,"Texas A&M University-Commerce, Federal University of Technology Akure","M.SC in Computer Science, Bachelor's in Industrial Design"
1331,"University of Colorado - Colorado Springs, Oakland Community College, Central Michigan University","B.S. in Electrical Engineering Intent, Accounting Intent, Meteorology Intent"
1332,American University,Bachelor's in Computer Science
1333,"Northern Illinois University, Pune University","Master of Science in Management Information System, Bachelor of Engineering in Electronics and Telecommunication Engineering"
1334,"Virginia Commonwealth University, Gar-Field Senior High School","B.S. in Criminal Justice, High School Diploma"
1335,Kwame Nkrumah University of Science and Technology,Bachelor's in Computer Science
1336,University of Missouri,Bachelor's in Business Administration emphasized in Finance and Risk Management
1337,Northwest Nazarene University,Bachelor of Arts in Computer Science
1338,University at Albany,"Masters of Business Administration in Information Technology Management, Bachelor's in Financial Analysis"
1339,Georgia College & State University,Bachelor of Business Administration in Management Information Systems
1340,"College of the Canyons, Saugus High School, Arizona State University Online",
1341,University of California - Davis,"BA in Economics, BA in International Relations"
1342,"Flatiron School, College of Charleston",Business Administration
1343,"George Washington University, King Abdul Aziz University, LAN/WAN Engineer Program","Masters in Computer Science, Bachelors of Science in Computer Science, CCNA, CCNP, CCDP in IT LAN/WAN Professional"
1344,"Southern New Hampshire University, Southwest Virginia Community College, Corporate Finance Institute","Certification in Business Administration, Bachelor Certificate in Finance, Certification"
1345,"NATIONAL POLYTECHNIC UNIVERSITY INSTITUTE BAMENDA, KTECH DBA Training Program",Associate Degree in Engineering
1346,"Eugene University, Mungwi Technical School","Bachelors of Science in Computer in Computer, BSc"
1347,"High School, Texas State University Northwest Vista College","Advanced Placement Communications Arts, B.A. in Political Science"
1348,High School,Graduate
1349,"Stratford University, ECPI University","Master's Degree of Information Science in Information Science, Bachelor of Science degree in Database Programming"
1350,"Fordham University, Gabelli School of Business, Fudan University, School of Mathematical Sciences","Master of Science in Global Finance, Bachelor of Science in Information and Computing Science"
1351,"COMSATS University, St. Mary's Convent Higher Secondary School","Bachelor's in Computer Science, High school in Science, Math's & Computer Science"
1352,Marshall University,"Bachelor's in Finance, Bachelor's in Mathematics"
1353,DEVRY UNIVERSITY ONLINE,Baccalaureate
1354,"AVERETT UNIVERSITY, PURDUE UNIVERSITY, NORFOLK STATE UNIVERSITY","MBA, Masters, Bachelors in Technical Proficiencies"
1355,Louisiana State University,B.S. in Information Systems and Decision Sciences
1356,"George Mason University, Kurukshetra University","Master's in data Analytics Engineering, Technology"
1357,Roger Williams University,Bachelor of Science in Computer Science in Artificial Intelligence
1358,Some college,
1359,,
1360,"Metropolitan State University, Normandale Community College","Bachelor of Computer Science in Computer Science, Associates in Computer Science in Computer Science"
1361,"Young Harris College, University of Otago","Bachelor of Arts in Interdisciplinary Studies, Certificate of Proficiency"
1362,,Master's
1363,"American InterContinental University, Ulster County Community College","Master's Degree in Information Technology, Bachelor's Degree in Information Technology, Associate Degree in Electrical Technology"
1364,James Madison University,Bachelor of Business Administration in Management Information Systems
1365,George Mason University,B.S. in Information Systems and Operations Management
1366,University of Yaounde 1,Bachelor of Science
1367,John Carroll University,Bachelor of Science in Computer Science
1368,"Maryland Drafting Institute, Central Senior High School","Associate in Architectural Drafting, High school in General Majors"
1369,COMPUTER LEARNING CENTER,Associates degree in Computer Programming
1370,"University of South Florida, University of Florida","Bachelor of Science in Management Information Systems, Bachelor of Arts in English"
1371,"Carroll School of Management, Boston College",B.S. in Computer Science
1373,"Plymouth State University, Rochester Institute of Technology",Bachelor of Science in Information Technology
1374,"DUKE UNIVERSITY, NORTH CAROLINA CENTRAL UNIVERSITY","Biology, Mathematics in Computer Science"
1375,"Aspen University, Radford University","Masters of Science in Information Systems, Bachelor of General Studies in Computer Information Systems"
1376,Western Governors University,B.S. in Cloud and System Administration
1379,"California State University - Los Angeles, CA",Bachelor's in Computer Science
1380,Western Connecticut State University,M.A. Master of Business Information Systems in Business Information Systems
1381,NEI College of Technology,Associate of Applied Sciences in Information Management in Applied Sciences
1382,PACE UNIVERSITY,Bachelor's Degree in Accounting Information Systems in CompTIA
1383,American River College,Associate in Liberal Arts
1384,Great Plains Baptist College,"Bachelor of Science in Computer Technology, Master of Science in Computer Science Technology"
1385,,Master's
1386,AMA Computer College,Bachelor of Science in Computer Engineering
1387,"University of Texas at Dallas, University of Pune","Master of Science in Computer Science, Bachelor of Engineering in Computer Engineering"
1388,"Eckerd College, NIIT","Bachelor's Degree in Information Systems & Business Management, Diploma in Software Technology & Systems Management"
1389,"Universidad Central de Venezuela, Universidad Nueva Esparta","MBA in Administrative Management, Bachelor in Computer Science"
1390,"University of Maryland - College Park, MD",BS degree
1391,Indira Gandhi National Open University,"MCA in Masters of Computer Applications, PGDCA in Computer Applications, Diploma in Computer in Office Management in Computer"
1392,"Cleveland Institute of Technology, Kent State University","Not provided, Computer Science and Business Development"
1393,Penn State University,Bachelors
1394,,Bachelor's
1395,"Osmania University, Andhra University","Master of Computer Applications, Master of Commerce, Bachelor of Commerce"
1396,California State Polytechnic University,Bachelor of Science in Computer Science
1398,Universidad de las Americas UDLA,Bachelor's in Systems Engineer
1399,"RWTH Aachen University, Jawaharlal Nehru Technological University","Masters in Production Engineering, Bachelors in Production Engineering"
1400,"Towson University, TESST College of Technology",Associate in Arts in Network Information Systems
1401,"Rose Hulman Institute of Technology, College of DuPage, Fort Dorchester High School","Chemical Engineering, Diploma"
1402,"Tennessee State University, National Institute of Technology","MS in Computer Information Systems in Engineering, BS in Electrical Engineering in Electrical Engineering"
1403,BS in Computer Science,Computer Science
1404,Bentley College,MS in Information Technology
1405,"Keller Graduate School of Management, DeVry University","MBA in Project Management, Master of Science in Information Systems Management, Bachelor of Science in Computer Information Systems"
1406,"University of the District of Columbia, Saint Augustine's College - Raleigh, NC","M.B.A. in Computer Information Systems and Science, B.S. in Computer Science"
1407,"Syracuse University, Alabama A&M University","Master of Science in Applied Data Science, Bachelor of Science in Computer Science Technology"
1408,"VIT University, The University of Texas at Dallas - Richardson, TX","B.Tech. in Electronics and Communication Engineering, M.S. in Computer Engineering"
1409,Reynoldsburg High School,High School Diploma
1410,"Johns Hopkins Carey School of Business, Cambridge University, University of Benin","MBA in FINANCE, Mphil in Environmental Management, Bsc in Resources Management"
1411,Rochester Institute of Technology,BS in Information Technology
1412,Bangalore Institute of Technology,Bachelor of Engineering
1413,"Wayne State University, Electronics Technology Institute","Bachelor's Degree in Engineering Technology in Electronics Engineering, Associate Degree in Electronics Engineering Technology"
1414,"University of Miami, Montclair State University","Master of Science in Mathematics / Management Science, Baccalaureate in Mathematics, Mathematics"
1415,Goshen College,Bachelor of Science in Leadership
1418,Bachelor's,
1419,University of Buea,Diploma in Community Nursing in Computer science
1420,"The Ohio State University, Cape Peninsula University of Technology",Bachelors University Exploration
1422,Emory University,Bachelor of Science in Computer Science
1423,"Visvesvaraya Technological University - Belgaum, Karnataka, Vijaya Pre-University College - Bengaluru, KARNATAKA, Vijaya High School - Bengaluru, KARNATAKA","Bachelor of Engineering in Industrial Engineering and Management, S.S.L.C"
1424,"Strayer University, AMA Computer University","Master of Science in Information Systems, Bachelor of Science in Computer Science"
1425,"Bowie State University, Purdue University, Long Reach High School","B.S. in Computer Science, Electrical & Computer Engineering"
1426,Penn State University,Economics
1427,,
1428,"Manhattan Technical College - School of Management, Moscow Institute of Technology",Bachelor's Degree in Construction Management in Computer Science
1429,University of Phoenix,Bachelor of Science in Computer Science
1430,Dallas County Community College District,"Associates in Management, BS degree in business management; sales and marketing"
1431,"University at BUffalo, THE STATE UNIVERSITY OF NEW YORK, MAR ATHANASIUS COLLEGE OF ENGINEERING, Mahatma gandhi university","Master of Science in Management Information Systems, Bachelor of Technology in Electrical and Electronics Engineering"
1432,University of Texas at Austin,Bachelor of Science in Mathematics
1433,Howard High School,High School Diploma
1434,Meremac Community College,Data Processing
1435,"Edina East High School, Hamline University, Paralegal Institute","B.A. in Political Science, Certificate"
1436,"Ashford University, Fairleigh Dicikinson University, Lyon's Technical Institute","Health Care Administration, Bachelor of Arts in Administration and Business, Certificate in Medical Assisting"
1437,"OLYMPIC COLLEGE, School of Nursing",Associate Degree of Nursing in Nursing
1438,"SUN Microsystems Training Institute, ASM Educational Center, Lagos State University","Computer Education and Consulting, Bachelor of Science in Economics"
1439,"Eastern Florida State College, The University of North Carolina at Wilmington","Associate in Computer Information Technology, Associate in Programming and Analysis, Bachelor's in Marine Biology"
1440,"University of Colorado, Regis University","MA in Information Learning Technologies, BS in Business Administration/Management"
1441,Kennesaw State University,B.Sc. in Computer Information Systems
1442,University at Albany,Business School of Business
1443,ECPI College of Technology,Associate of Applied Science in Computer and Information Science
1444,"University of North Texas, Villanova University, Center for Service Support","Bachelors of Arts in Philosophy, Bachelor's in Applied Technology & Performance Improvement, Green Belt Lean Six Sigma, NTCSS Systems Administration in Data Reporting/Analysis"
1445,University of Phoenix,Bachelor of Science in Business Management
1446,Master Degree in Computer Science & Engineering,Master Degree in Computer Science & Engineering
1447,Montgomery College,Bachelor's
1448,Montgomery College,Associate Degree in Information Technology
1449,Lewis University,Bachelor of Business in Management Information Systems
1450,Columbia College,
1451,"Vincennes University, Indiana University - Purdue University Indianapolis, Indiana University Bloomington",
1452,Herzing University,Bachelor of Science in Information Technology Management
1453,Rutgers University,B.S. in Management Information System
1454,St. Joseph's University,BA in International Relations
1455,"University of North Carolina - Chapel Hill, NC",Bachelor of Arts in Journalism in Mass Communications
1456,"Watkins Mill High School, University of Phoenix, Montgomery College - Germantown","General Studies, Information Systems Criminal Justice/General Studies"
1457,"University of Pittsburgh, Academy of Arts of China, Sichuan Teachers University","Master's Degree in Far East Archeology, Master's Degree in Art History, Bachelor's Degree in Education"
1458,"Southern Methodist University, University of Dallas, Adams State University","Certificate, Master of Business Administration in Information Technology Management"
1459,Sawyer Business School,Associate Degree in Business Communication Systems Management
1460,"Colorado Technical University, National American University","Master's Degree in Information Security and Management, Bachelor's Degree in Computer Information Security, Associate Degree in PC Desktop Support"
1461,Jayamukhi Engineering College,B.Tech in C.S.E
1463,"Central Missouri State University, Park University, Electronic Computer Programming Institute","MBA in Information Systems, BS in Mgmt of Computer Information Systems"
1464,N J I T,B.S. in Electronics in Computer Science
1465,Bradley University,Advertising
1466,UC Santa Cruz,Mathematics
1467,Drexel University,Bachelor of Science in Computer Science in Relational Database Design
1468,"Acme Institute of Technology, Rose-Hulman Institute of Technology","Associate of Science (AS), Electronics Technology, Bachelor of Science (BS), Computer Science"
1469,Vishwakarma Institute of Technology,BE in Mechanical Engineering
1470,Kankakee Community College,Associate of Applied Science in Electronics Technology
1471,"St.Petersburg College, Virginia Western College","A.S. in Computer Science, Commercial Art"
1472,Central State University,BS in Computer Science / Mathematics
1473,"Alvin High School, University of Phoenix",Diploma
1474,"SEMINOLE COMMUNITY COLLEGE, APOPKA HIGH SCHOOL",
1475,"University of Georgia, National Chiao Tung University","Master of Applied Mathematics Science in Computer Science, Bachelor of Science in Navigation and Marine Engineering"
1476,"University Of Baltimore, Coppin State University","Masters of Science in Health System Management, Bachelor of Science in Criminal Justice"
1477,City & Guilds in GNVQ,GNVQ
1479,"Western Governors University, University of Georgia","Business Management, Biology"
1480,"State University of New York at Purchase, State University of New York at Stony Brook",Computer
1481,UDEM,Bachelor's in Computer systems
1482,Jawaharlal Nehru Technological University (JNTU),Master of Technology in Technology
1483,Texas Christian University,Bachelor of Business Administration in Databases
1484,North Carolina Agricultural and Technical State University,Bachelor's in Computer Science
1485,York University,Bachelors in Information Technology
1486,"English US Ling Institute, Unitec",System & Computers Tech in Administrator Windows
1487,BALL STATE UNIVERSITY,Bachelor of Science in Marketing Education and Advertising & Promotion
1488,Golden Gate University,Master of Computer Information Systems in Computer Information Systems
1489,"Troy State University, University of South Florida","Master of Science in International Management, Bachelor's of Science in Management Information Systems"
1490,Eastern Illinois University,Bachelor of Science in Physics
1491,Axia College,Associate of Arts in Information Technology
1492,"Bellevue University, Colorado Institute of Art, University of Nebraska-Omaha","Management, Visual Communications, art and Graphic Design"
1493,Monroe College,"Bachelor's of Information Technology in Information Technology, Associate of Applied Science in Databases"
1495,UNIVERSITY OF SOUTHERN MISSISSIPPI,BS in Computer Science
1496,University of Tennessee,Bachelor of Science in Accounting
1497,S.V.U College of Engineering,Bachelor of Technology in Technology
1498,Some college,
1499,Florida State University,Bachelor of Risk Management
1500,Technical University of Moldova,INFORMATION TECHNOLOGY COMPUTER ENGINEERING DEGREE in COMPUTER SCIENCE
1501,Ouachita Baptist University,Bachelor Of Arts in Business Administration
1502,Bellevue University,Bachelor of Science in Management of Technical Services
1503,Osmania University,PGDM in Information Systems & Computer Applications
1504,"Bentley University, Indiana State University","MBA in Hybrid Program, Bachelor of Science in Computer Science"
1505,University of South Alabama,Bachelor of Science in International Business
1506,San Jose State University,Bachelor's in Electrical Engineering
1507,UNIVERSITY OF WEST FLORIDA,MASTER'S in DATABASE ADMINISTRATION
1508,University of Kansas,Bachelor of Fine Arts in Theatre Design
1510,Alagappa University,Master of Science in Business Information technology
1511,Visvesvaraya Technological University,Bachelor of Computer Science Engineering
1512,High school or equivalent,
1513,"Purdue, University of Technology, Visual Arts institute, Excelsior Community College","MBA in Business Administration, B.Sc. in Computing and Information Technology, Diploma, Diploma in Advance Graphics Designing"
1514,"Florida A&M University, Addis Ababa University","MSc in Computer Science, BSc in Statistics, MSc in Information Science"
1515,University of Texas at Austin,"Masters in Library and Information Science, Bachelor of Arts in Economics"
1516,"Anna University - Chennai, Tamil Nadu",Bachelor of Engineering in E. C. E
1517,"George Washington University, Institute of Business & Management Sciences","Master of Science in Information Systems, Master in Business Administration"
1518,"Strayer University, Unity University","BS in Information Technology, BS in MIS(Management Information System)"
1519,"University of Lock Haven, University of Maryland","BA in Sociology, MA in Criminology"
1520,"University of New Orleans, Priyadarshini Institute for Computer Aided Knowledge, RV College of Engineering","Masters in Business Administration, MS Computer Applications, BS in Electronics Engineering"
1521,"Houston Community College, Remington College",AAS degree in Internet Information Systems
1522,"Florida International University, Florida Atlantic University","MS in Management Information Systems, BS in International Business & Trade and Management Information Systems"
1523,"UNIVERSITY OF NEBRASKA, IOWA WESTERN COLLEGE, NATIONAL UNIVERSITY","Bachelor of Science in Computer Sciences, Associate of Science in TRAINING & WORKSHOPS, Master of Science in Software engineering"
1524,"Azad University, University of Applied Science and Technology","BSc/BA, Associate Degree in Computer Hardware"
1525,"Cleveland State University, Nagarjuna University","Masters in Computer and Information Sciences, B.E."
1526,Universidad Santa María,Systems Engineer
1527,Dordt College,"BA in Information Systems, Bachelors of Arts in Accounting, BS in Computer Science in Management Information Systems"
1528,The Ohio State University,Bachelor of Science
1529,University Of Phoenix Arizona,Information Technology
1530,George Mason University,Bachelor of Science
1531,"York College of Pennsylvania, Drexel University",Bachelor's in Mechanical Engineering
1532,Tennessee State University,BACHELORS in Communications
1533,"CALIFORNIA CULINARY ARTS APRENTICESHIP PROGRAM, PRATT INSTITUTE","Associate in Culinary Arts, Fine Arts"
1534,Howard University,Bachelor of Arts in Economics
1535,"Spring Hill College, Brunswick Junior College, Augusta State University","Master in Theology in leadership, BS in Computer Science"
1536,UW Whitewater,MCS
1538,Chicago State University,Bachelor of Science in Computer Science
1539,Metropolitan State College,Bachelor of Science degree in Computer Science
1540,"University of Cape Coast/Ghana, ITT Technical Institute","Bachelor's in Psychology, Associate in Computer System Networks, Bachelor of Science in Information Technology"
1541,Northern Virginia Community College,AS in Computer Science
1542,Cardinal Stritch University,BS in Business Management
1543,"Potomac Job Corps Center, Marshall University, Tolsia High School","Associate in Transportation & Communications, Biology, Diploma in Science"
1544,"University at Albany, State University of New York at Potsdam","MA in Geography, BA in Geology and Geography"
1545,"Northern Virginia Community College, Boston University","Associate Degree in Applied Science in Computer Information Systems, Computer Science"
1548,"Howard Community College, Towson State University",Associate of Applied Science degree in Network Administration
1549,"Montgomery College, University of Maryland Baltimore County",Bachelors Degree in Biological Psychology
1550,"Limestone College, University of Tennessee, Computer Learning Center","B. A. in Liberal Studies, Computer Science, Business Management, Chemistry, A.S. in Computer Science"
1552,Some college,
1553,,
1554,"Wake Forest University, Otterbein College","Master of Business Administration in Dual Concentrations, Bachelor of Arts in Finance"
1555,"Stevenson University, Capitol Technology University, Howard Community College","Master's in Business and Technology Management, Bachelor's in Electronics Engineering Technology, Associate in Biomedical Engineering Technology"
1556,"Ohio State University, Columbus Technical Institute",Associates in Computer Science
1557,Brigham Young University,"BS in Computer Science, BA in Political Science"
1558,Jackson State University,Bachelor's in Computer Science
1559,Heald College,"Associate of Arts in (AA), Computer Engineer"
1560,Azad University,Associate Degree in Computer Science
1561,"Delaware State University, Caesar Rodney Sr. High School",Alien Education High School Diploma
1562,,
1563,University Of Central Missouri,Bachelors degree in engineering
1564,"Grace Bible College, Sinclair Community College","Associate of Arts in Leadership & Ministry, Business Administration"
1565,"Colorado State University-Global Campus, University Nevada Las Vegas, Durango High School","BS in Management Information Systems and Business Analytics, computer science"
1566,WEBSTER UNIVERSITY,B.S. in Computer Science in Information Management
1567,"Arizona State University, W.P. Carey School of Business, Leysin American School","M.S. in Information Systems, B.S. in Information Systems, International Baccalaureate"
1568,"Brown College, South Dakota State University","Certificate in Computer Programming, Bachelor of Science in Medical Technology"
1569,UNIVERSITY OF INCARNATE WORD,Bachelor in Business Administration
1570,Salve Regina University,B.S. in Information Systems
1571,University of Phoenix,Diploma in Information Assurance and Security
1572,Northwestern Electronics Institute,Associate in Electronics
1573,"Swinburne University of Technology, University of Madras","PG Diploma, B-Tech"
1574,Some college,
1575,North Gujarat University,Bachelors in Engineering Computer Science
1576,High school or equivalent,
1577,"United States Naval Academy, The University of Texas At San Antonio","Coursework in Computer Science, Statistics, Electrical Engineering, Coursework in Computer Science, JAVA, C"
1578,Great Lake Institute of Technology,
1579,"El Camino High School, Skyline College","Diploma, AS degree in Business Administration"
1580,Ocean Seminary College,Doctor of Ministry in Religion
1581,Drexel University,B.S. in Civil Engineering
1583,High school or equivalent,
1584,Ashford University,Bachelor of Arts in Finance
1585,"Towson University, Community College of Baltimore County","Bachelor's Degree in Information Technology, Associates in Information Technology"
1586,Excelsior College,"Master of Science - MS in Cybersecurity, Master of Science - MS in Administration and Management, Bachelor's degree in Business Administration and Management, Associate of Science in AS, Business Administration and Management, General"
1587,"George Washington University, Cambridge University, Norfolk State University","M. Ed. in Mathematics in Mathematics Supervision and Administration, B.S. in Computer Science in Computer Science"
1588,San Bernardino Valley College,AA in Electronics Engineering Technology
1589,George Westinghouse High School,Business
1590,Thomas More College,B.S. in Computer Information System
1591,"Dove Institute of Technology, Columbus School of Practical Nursing",
1592,Community College of Allegheny County,Associate in Information Technology Support
1593,Tuscola High School,
1594,"Southern New Hampshire University, College of Alameda, Universidad Nacional de Tucuman","BA in Business Administration and Human Resources, Organizational Psychology"
1595,"University of Indonesia, Polytechnic Negeri Bandung","Bachelor Degree, Diploma of Informatics in Informatics"
1596,Bowie State University,Bachelors of Computer Technology in Database Management & Dev
1597,Saint Joseph University,M.S.
1598,"Illinois Institute of Technology, Tung Hai University","MS in Computer Science, BS in Physics"
1599,Bob Jones University,BS in Global Technology Management and Mathematics
1600,"The University of Texas at Dallas, Collin College","Bachelor of Science in Business Administration in Entrepreneurship, Associate in Business"
1601,"Royal Danish College, Grantham University, Lurleen B. Wallace Junior College, Faulkner University","Certificate in Classroom Instruction, Masters of Science in Information Management Technology"
1602,Bachelor's,
1603,Old Dominion University,Bachelor of Science in Business Information Technology
1605,University of business and technology (UBT),Bachelor of Professional Studies in Database Administrator and System Administrator
1607,University of Buea,Bachelor's Degree in Law
1608,"University of Maryland, Enugu State University","Masters in Cyber Security, Masters in Cloud in computing architecture, Bachelor of Engineering in Computer Science and Engineering"
1609,"University of Texas at Austin, Nagarjuna University","Bachelor of Science in Computer Science, Bachelor of Technology in Electronics and Telecommunications Engineering"
1610,Angelo State University,Bachelor's of Science in Computer Science with minors in Math & Accounting
1611,"University of Akron, Wayne College","Bachelor's in Political Science, Associate in Computer Networking Technology"
1613,Northern Virginia Adult Education Center,
1614,"University of Missouri, St. Louis Community College, Control Data Institute, Morgan State University","certification, Computer Technology"
1615,kaktiya University,BTech in Computer Science Engineering
1616,Colorado Technical University,Bachelor of Science in Information Systems Management
1617,New Kent High School,
1618,"Round Lake High School, College of Lake County","Diploma in General Studies, A.A"
1619,"University of South Carolina, Columbia",M.S. degree in Mathematics
1620,Associate,
1621,"Baker College of Auburn Hills, RESA St.Clair County Education Center","Bachelor's Degree in Computer Science, Associates Degree in Computer Science, Certified"
1622,"Benjamin Franklin Institute of Technology, ITT Technical Institute","Bachelor of Science degree in Health Information Technology, Associate in Computer Network Systems"
1623,HiLCoE School of Compute Science and Technology,Bachelor of Science in Computer Science
1624,Osmania University,"Master of Computer Applications, Bachelor of Commerce"
1625,Community College of the Air Force,Associate In Applied Science in Data Processing
1626,"Minot State University, University of Michigan","Master of Science in Information Systems, Bachelor of Arts in Psychology"
1627,Fresno State,Bachelor of Science Computer Science
1628,Morehouse College,Bachelor of Arts in Political Science
1629,"Vignan University, Governors State University","Masters in Computer Sciences, Computer Sciences"
1630,American InterContinental University,BS in Information Technology
1631,Arizona State University,B.S. in Marketing
1632,"North Carolina State University, EDS Technical Training Program","Bachelor's in Electrical Engineering, Engineering Systems Engineer in Computer Programming"
1633,St. John's University,Bachelor of Science in Finance
1634,"Loyola University of Chicago, Saint Mary's College of California, Lake Forest High School","Illinois Teaching Certificate in History, English & ESL, Bachelor's in English"
1635,Osmania University,MBA in Systems Management
1636,"Computer Career Institute at John Hopkins University, University of Maryland at College Park","Microsoft Certified Systems Administrator, Master Certificate"
1637,Winona State University,B Sc in Management Information Systems & Computer Information Systems
1638,Youngstown State University,BS in Computer Information Systems - Accounting Minor
1639,IAU - Tehran,Bachelor in Software Engineering
1640,"California State University - Los Angeles, CA, University of Mumbai","M.S in Information Systems, B.E. in Information Technology"
1642,"University of Maryland University College, Ladoke Akintola University of Technology","MS in Information Technology Information Assurance, BSc in Civil Engineering"
1643,Northeastern University,Bachelor of Science in Business Administration in Management Information Systems
1644,"Anna University, Noorul Islam College of Engineering",Bachelor of Engineering in Electrical Engineering & Electronics
1645,Midlands Technical College,Associate Degree in Computer Programming
1646,United States Air Force,
1647,"University of Idaho, University of Waikato",BS in Business Information Systems
1648,UNIVERSITY OF PHOENIX,"Bachelor of Science in Business, Management, Marketing"
1649,"Bharathiyar University, ASPEN University","Bachelor of Computer Science, MBA in Project Management"
1650,"University of California at Davis, Bay Area Video Coalition",Bachelor of Science in Managerial Economics in Social Media Marketing
1651,"University of Washington, Australian Business Development Centre, The Founders Institute","Psychology, business"
1652,Georgia Institute of Technology,Bachelor of Science in Computer Science in Concentrations
1653,Strayer University,Bachelor of Science in Information Technology
1654,"University of Maryland University College, Washington Adventist University, Columbia Union College","MS Health Care Administration in Health Care Administration, BS in Organizational Management, BS in Health Care Administration"
1655,Metropolitan Community College,Computer Programming and Office Software
1656,University of Houston,Associates in Food Service Administration
