person_id,ability
1006,"Administering Production and Development Databases, Performing Backup and Recovery, Capacity Planning and Performance Tuning, Implementing Database Security, Automating Database Tasks, Upgrading and Patching Databases, Cloning Databases for Testing, Monitoring and Maintaining Databases"
1007,"Oracle Database Administration, Database Upgrades, Oracle Golden Gate, RMAN, Oracle RAC, Oracle Data Guard, ASM, Data Partitioning, Scripting (PERL, Bash, PL/SQL), Oracle APEX Development, Solaris Administration, Teradata Administration, Sybase Administration"
1008,"Data migration, Database, SQL Server, SQL Server 2000, SQL Server 2012, Replication, SQL, SSRS, T-SQL, Operational data store, ODS, .NET, Visual Studio, Exchange, VM, Migration strategy, Business intelligence, Operations, Trouble-shooting, Performance tuning, DBA, SQL DBA, ETL, Oracle DBA"
1009,"Oracle Database Administration, Database Upgrades and Patching, Database Migration, Performance Tuning, Database Backup and Recovery, Database Security Management, Oracle RAC and ASM, Oracle Data Guard, Oracle Golden Gate, Oracle Enterprise Manager, SQL and PL/SQL, Linux and Windows Administration, Cloud Platform (AWS, OpenStack), Automation Tools (Puppet, Chef, Ansible)"
1010,"MANAGING SCHEMA OBJECTS, DATABASE BACKUPS AND RECOVERY, INSTALL, PATCH AND MAINTAIN ORACLE SOFTWARE, INSTALL AND CONFIGURE ORACLE ENTERPRISE MANAGER 13C, INTERACT WITH TECHNICAL, APPLICATIONS AND OPERATIONAL STAFF, PERFORM DAILY DATABASE ADMINISTRATION, UTILIZE ORACLE ENTERPRISE MANAGER (OEM) OR OTHER TOOLS, PERFORM AND ANALYZE DATABASE ERROR MESSAGES / ALERT LOGS, ANALYZE BUSINESS REQUIREMENTS FOR DATABASE DESIGN, CREATE AND MANAGE ORACLE ACCOUNTS, ROLES, PRIVILEGES AND PROFILES, PERFORM BACKUP AND RECOVERY FOR ORACLE DATABASES, GENERATE STATSPACK PERFORMANCE AND TUNING REPORTS, WORK WITH DEVELOPERS TO GENERATE EXPLAIN PLAN, MANAGE ORACLE SCHEMAS AND SPACE, MONITOR ALERT LOG, MEMORY, DISK I/O, CPU, DATABASE NETWORK CONNECTIVITY, ENSURE DAILY RMAN AND EXPORT BACKUPS ARE COMPLETED AND VALID, INSTALL AND CONFIGURE ORACLE DATABASE ON RED HAT LINUX, ASSIST ETL ADMIN IN LOAD DATA LOADING, ASSIST OBIEE ADMIN IN DASHBOARD REPORTING AND ANALYTIC, FOLLOW AND EXECUTE DAILY AND WEEKLY ORACLE DBA MANAGEMENT TASKS, EXECUTE WEEKEND DATABASE HEALTH CHECK, INSTALL ORACLE DATABASES FOR DEVELOPMENT AND TESTING PURPOSES, MAINTAIN DATABASES FOR EACH ENVIRONMENT, CREATE DATABASE OBJECTS FOR DATA MODELS AND SCHEDULES BATCH JOBS, RESOLVE DAILY ISSUES AND REQUESTS THROUGH TICKETING SYSTEMS, MANAGE AND MONITOR DB STORAGE USAGE, ASSIST SENIOR DBAS WITH DATA MODELS, DEVELOPMENT AND DELIVERY OF TECHNOLOGY-BASED SYSTEMS, INSTALL, CONFIGURE, AND MAINTAIN ALL DATABASE SERVERS, TROUBLESHOOT AND MANAGE ORACLE PROCESSES, TUNE MEMORY ALLOCATION AND CONTENTION AND I/O, MANAGE AND RESOLVE DESIGN ISSUES DURING DEVELOPMENT STAGE, CREATE NEW DATABASE FOR THE CUSTOMER AND EXPORT OTHER MONITORING SCRIPTS, MAINTAIN DATABASES ON VARIOUS ENVIRONMENT, PLAN AND SCHEDULE PHYSICAL (COLD/HOT) BACKUPS AS WELL AS LOGICAL BACKUPS, RESOLVE DAILY ISSUES AND REQUESTS FROM CUSTOMERS, INVOLVE IN PERFORMANCE MONITORING AND TUNING OF THE DATABASE, INVOLVE IN DISASTER RECOVERY PLANNING"
1011,"Database Administrator, Data Modeler, Developer, Report Writer, Informatica Administrator, ETL Project Implementation, Data Modeling, Erwin Server Administrator, Database Security, Database Performance Tuning, Database System Management, Instructor"
1012,"Managed computing environment, Ensured daily business continuity, Installed, repaired, and upgraded hardware, Installed, upgraded, and patched software, Taught users software usage, Resolved computer-related issues, Improved computer literacy and productivity, Oversaw network infrastructure rewiring, Designed and maintained computer cluster"
1013,"Database administration, Database performance improvement, Recovery procedures, Database tuning, System backups, Technical and functional design, Student transcript application development, Microsoft Team Foundation Server (TFS) administration and instruction, Data retrieval from 3rd party software, Data import, SQR and Crystal Reports development, Life cycle system setup and implementation, Cognos system setup with security"
1014,"Oracle Database Administration, Database Installation and Configuration, Database Upgrades and Patching, Database Migration, Performance Tuning, Database Refreshes, Security Management, Backup and Recovery, Database Cloning and Refreshing, Enterprise Storage Solutions, Exadata, Transparent Data Encryption, Database Monitoring and Automation, Database Upgrade and Migration, High Availability and Disaster Recovery, Database Partitioning and Optimization, ETL and Data Warehousing, SQL and PL/SQL Tuning, Database Security and Hardening, Database Documentation and Knowledge Sharing"
1015,"SQL Server database administration, Database architecture, Database development, Transact-SQL (T-SQL), Data modeling, ETL development, SQL Server Reporting Services (SSRS), Performance tuning, Disaster recovery, High availability, Replication, Very large databases (VLDBs), Automation scripting, Oracle PL/SQL, Database design, Reporting, Mentoring developers"
1016,"Supporting development, unit test, system test,Integration test, certification test, production databases, Worked on multiple database upgrades from 9i to 10g/10g to 11g and EBS upgrades from 11i to R12 (12.1.1/12.1.3), Worked on database platform migration from HP Superdome to Exadata, Multinode setup of R12 Oracle EBS, Shared Application Filesystem implementation with PCP setup & SSL implementation, Load balancing setup, Upgrade discoverer from 10g to 11g and integrate with R12 EBS, Migrate discoverer EUL components, Installation of 11g fusion middleware components and configure, EBS DMZ/External tier setup, Clone and resolution errors during activity, Mobile server maintenance, workflow mailer setup, oracle printer setup & other sysadmin activities, Standby server setup and failover, Export-import, database character set change, Code migration, backup and recovery, Concurrent manager issues and resolutions, Databases refresh using hot and cold backup, Patch analysis and patch application including application and oracle patch, Server health checks and process monitoring, Running autoconfig to setup application tiers, Working with adutilities, Scheduling shell scripts in crontab for several database activities"
1017,"Database Administration, SQL Development, .NET Development, Team Leadership, Business Coaching, Financial Management"
1018,"Database Administration, Oracle Database, Database Security, Performance Tuning, Backup and Recovery, Database Installation and Configuration, Database Patching and Upgrades, Virtual Machine Installation, Standard Operating Procedures, Team Player, Quick Learner, Adaptable"
1019,"Oracle database administration, Database installation, configuration and troubleshooting, Database backup and recovery, Database performance tuning and optimization, Database security management, Database migration and upgrade, RAC and Data Guard administration, SQL and PL/SQL programming, ETL and data integration"
1020,"Oracle RAC, Data Guard and Streams Implementations, Oracle database administration and management, SQL and PL/SQL programming, Unix systems administration, Shell scripting and structured programming, Six Sigma Green Belt"
1021,"Database Security & Patching, Oracle Golden Gate and RAC, Transparent Data Encryption (TDE), Oracle Data guard and Data Pump, Backup & Recovery, Upgrades & Migration, Bash/Unix Shell scripting & Automation, Installation, configuration, capacity planning, Oracle ASM & Grid control, Performance Monitoring & Tuning, Database Cloning"
1022,"Energetic and results-driven team leader, Strong problem solver, people skills, detail and team oriented, Ability to analyze situations and bring projects to completion within deadlines, Team management and supervision, Budget planning, Fundraising management, Vendor relations and coordination, Report writing and dissemination"
1023,"Almost 13 years of experience on various RDBMSs database administration, NoSQL database administration, Data Virtualization, Shell and PowerShell scripting, ITIL practices, Database Encryption, SSL Encryption, Data Encryption, Disaster Recovery, High Availability, Database Migration, Storage Migration, Automated Partition Extension, Oracle Advanced Security, Database Upgrades, Database Patching"
1024,"Developed (maintained)software solutions, System for calculation of costs, Payment system for Fishermen, Payment system for Drivers, InfoPesca system, Sales System, Customer Service System, Billing systems, Accounting and payment systems"
1025,"Database Design, Database Creation, Production Implementation, Database Restoration, Root Cause Analysis, Hardware and Software POCs, User Access Setup, Security Matrix, SQL Performance Tuning, Database Maintenance, Backup/Recovery Strategy, Database Policy, High Availability, Troubleshooting, SQL Queries, Testing, Cataloging, Parameter Setting, Constraint and Procedure Altering, Performance Tuning, Script Writing, Scheduled Job Monitoring, Batch/Conversion Job Oversight, Documentation Development"
1026,"Over 18 years of professional IT experience as Senior System analyst/ Database Administrator using all the major versions of Oracle such as Oracle 8i/9i/10g/11g/12c, Over 8 years of professional IT experience as Senior System analyst/ Database Administrator using all the major versions of MS SQL such as MS SQL Server 2000/2005/2008/2012/2014, Solid experience on Oracle Real Application Clusters(RAC), Data Guard, RMAN, Extensive expertise in all the administrative activities such as Oracle Installation, Configuration, Troubleshooting, Performance tuning, Patching, Backup and Recovery, Cloning, Senior MS SQL DBA (SQL/2000/2005/2008/2012/2014/2016) with (18) years of experience with SQL Server database administration, BI,and HA solutions, Extensive experience in, performance tuning/troubleshooting/diagnosis and backup & recovery strategy formulation, Extensive experience in implementing High availability and Disaster Recovery solutions like Replication (Snapshot and Transactional), Log shipping, clustering and mirroring on physical and virtual machines, MongoDB Data modelling and optimization, Extensively worked on Active-Active and Active-Passive Clustering, Implemented new features in MS SQL Server 2012 AlwaysOn HADR in prod and non prod environments, Configured AlwaysOn with synchronous and asynchronous secondary replicas, Experience in building SSIS packages (.dtsx) involving ETL process, extracting data from various flat files, Excel files, legacy systems and loading into SQL server, Eperienct installing and configuring and creating Tableau, Experience creating deployment utility to deploy SSIS packages over Production, QA and Local System, Experience in creating SQL Server Reports using SSRS 2008 and 2012, Experience working as DBA for databases such as MS Sql Server, My SQL and Sybase, Working experience with large-scale mission critical OLTP and OLAP systems, Working experience in large Data centres in excess of 5000 Servers, Ability to work independently, manage multiple projects and handle a large volume of work, Expertise in upgrading, migrating, applying PSU/CPU patch sets and one-offs to Oracle databases, Proficient in database performance tuning using ADDM, AWR, ASH and Explain Plan, Working knowledge of RMAN and logical backups using Data Pump and conventional export utilities, Expertise in Oracle schema and User Management, Knowledge of HDFS, MapReduce, Hive, Sqoop and NoSQL databases such as Cassandra and HBase administration, Experience in all phases of the Software Development Life Cycle, Excellent interpersonal communication skills and documentation skills"
1027,"Database Administrator, Oracle, SQL Server, Sybase, Windows 7, Linux, Relational database, Switches, Routers, Load balancers, Database architecture, Program design, Database installation and configuration"
1028,"SQL Server DBA, Database Performance Tuning, Backup and Recovery, High Availability, Security, Disaster Recovery, Team Management, Cloud Technologies, Customer Support, CRM"
1029,"Database Administration, Database Monitoring, Database Design, Database Troubleshooting, Performance Tuning, High Availability, Backup/Recovery, Security Management, ETL, SSIS, SSRS, SQL Server Expertise, Effective Communication, Strong Work Ethic, Relationship Management"
1030,"Database Administration, SQL Server Expertise, High Availability Solutions, Disaster Recovery, Performance Tuning, Database Maintenance, ETL Development, Data Warehouse, Cloud Infrastructure"
1031,"Oracle databases, Database administration, Team leadership, Project oversight, Database validation, Sybase, SqlServer, Essbase, Solaris, Application development, Mac to Windows conversion"
1032,"Report Preparation, Database Management, Strategy &Execution, Cost-Benefit Analysis, Innovative IT Initiatives, Decision Analysis, Process Flow, Client Relations, End-user Training"
1033,"Webmaster, Database Administrator, Drupal CMS, MySQL Database, Database Backup and Recovery, Database User Management, Database Performance Monitoring and Tuning, Windows Server 2003 Administration, Linux Administration, Oracle Database Administration"
1034,"Software systems design, development, and services, Database development, Requirements gathering, Application software design, development, installation, demonstration, and training, Oracle Certified Professional, Oracle Certified Associate, PostgreSQL Database Development, PL/SQL, C, Interpersonal, analytical, and verbal and written communication skills, Technical leadership, Documentation, Training, Presentations"
1035,"Database Administration, Data Analysis, Relational & Dimensional Data Modeling, Technical Advisement, Team Lead, Data Modeler, Database Design, Database Management, Database Performance, Problem Resolution, Agile, Data Modeling, Data Analysis"
1036,"Microsoft Certified MCSA SQL DBA, SQL Server Database Administration, Database Installation and Configuration, Database Upgrade, Server Migration, Database Performance Tuning, T-SQL Tuning, Backup and Recovery, Database Disaster Recovery, Database Mirroring, Log Shipping, Windows/SQL Clustering, Availability Groups, Replication, SQL Server Agent, Maintenance Plan, SQL Profiler, Wait Stats, DMV, DMF, Activity Monitor, Extended Events, Error Log, Windows Performance Monitor, SQL Execution Plan, Index Management, DBCC Commands, Patch Management, T-SQL Development, Stored Procedures, Security Management, Data Encryption, Always On Technology, Log Shipping, Backup and Recovery, Data Corruption Management, Data Modeling, ER Diagram"
1037,"Documentation, Research, Asset protection, Threat assessment, Tableau, Microsoft Dynamics, ServiceNow, Visual Studio, SSRS, SSIS"
1038,"Microsoft Technologies, Database design and implementation, Network and hardware maintenance, Enterprise software management, Banking application development, Database administration and optimization, Technical support"
1039,"Database Design, Backup & Recovery, Security Implementations, Monitoring & Tuning, Migration, Upgrades, Cloning, Replication, Oracle 10g, 11g and 12c, MySQL, MS SQL Server, Enthusiastic, Proactive, Exceptional Written, Verbal, Analytical and Organizational Skills, Proven Leader, Motivational Management Style, Highly Motivated Teams, Innovative Solutions, Energetic Achiever, Manage Multiple Priorities, Perform Under Pressure, Authorized to Work in the US"
1040,"Database Engineer, MySQL, Oracle, Oracle Data Guard, RMAN, MySQL High Availability replication, MySQL 5.6, MySQL 5.7, MySQL replication, Zabbix, Volmetric, AppDynamics, MySQL 5.1, MySQL 5.6, MySQL server tuning, MySQL replication, Linux shell scripting, Oracle 10g, Oracle 11g, Veritas Cluster, Toad, PL/SQL, Oracle 8i, Oracle 9i, MySQL 5.0, MySQL 5.1, MySQL backup and recovery, MySQL database objects, MySQL performance tuning, Unix shell scripting, MySQL scripting"
1041,"Designed, developed and managed PostgreSQL database in AWS environment, Developed and set up HA, DR solution for PostgreSQL, Developed custom scripts for monitoring PostgresSQL, Provisioned AWS EC2 instance using Terraform and Jenkins and improved the process by automation, Deployed mongoDB in AWS, upgrade and troubleshoot performance issue, Deployed Redis clusters in AWS, Set up SQL server in Linux and participated in the migration from SQL server to PostgreSQL, Backup and restore databases in SQL server databases, Core QA & production ownership for NoSQL databases including Couchbase, Mongo and Cassandra, Delivery of HA for NoSQL with multi-datacenter environment, Delivery of DBA home grown monitoring and self-healing framework to maintain health of NoSQL clusters and nodes, Full lifecycle management for all NoSQL software and hardware, Troubleshoot data transfer from couchbase to Elasticsearch, Setup and supported Dataguard / Active dataguard, Golden Gate for oracle databases and implemented other replication solutions, Led the efforts of datacenter move of 200+ oracle instances by setting up dataguard standbys, and executing graceful failover to new datacenters, Monitored, identified and resolved database performance problems across NoSQL / Linux platforms, Participated in automation of routine DBA such as node replacement, tablespace addition, file system usage, export/import, schema change etc, Provided 24x7 production on-call to database operational support on rotating basis, Completed upgrade of databases from version 8i to 9i and from 9i to 10g, Set up Resource Manager plan to prioritize the utilization of database resource, Set up replication for reporting database using snapshots and advanced replication, Set up and maintain standby databases for disaster fail-over and graceful switchover, and for datacenter move, Implemented partitioning for data aging as well as performance tuning, Developed stored procedures and coordinated with developers to incorporate the codes into the application, Designed and implemented scripts to monitor the growth of production database for capacity planning, Developed PL/SQL and unix scripts for generating custom reports and data processing"
1042,"Database administration, Database, Ms sql server, Sql server, Mysql, Oracle, Sql, Aix, Linux, Solaris, Sun, Unix, Ux, Hp-ux, R2"
1043,"capacity planning, Database, MSSQL Server, SQL, SQL Server"
1044,"strategic management, process transformation, detailed administration, database development and design, team management, problem analysis and resolution, project planning and implementation, training and documentation, database scalability and reliability, performance tuning and capacity management, backup and recovery, server setup and configuration, database software installation, instance creation and maintenance"
1045,"Data Migration, Backup and Recovery, Patching and Security, Space Allocation and Management, Software Upgrading and Installation, Database Monitoring and Maintenance, Performance Tuning"
1046,"Linux System Administration, Database Administration, Oracle, DB2, SQL Server, IDMS, HP-UX, Solaris, AIX, Linux, Windows Servers, IBM Mainframe, Java, J2EE, JSP, Servlet Technology, Struts, Faces, Apache Server, Tomcat, C#, C++, C, Visual Basic.NET, XML, PERL, Python, REXX, COBOL, Assembly, Android, Oracle Real Application Cluster Technology (RAC), Oracle ASM, Oracle Data Guard, SQL, PL/SQL, ESRI ArcSDE, Oracle Utilities, EMC Symmetrix, Ascential ETL tools, Erwin Modeler, Toad, Oracle 10g, Oracle 11g, Oracle 12c Grid Control, bash, vim(vi), mailx, iptables, sftp, grep, sed, awk, find"
1047,"Provided direction for the database team, Functioned as the project leader on projects, Scripted, scheduled, and monitored different types of database backups and refreshes, Managed 90 SQL Server instances, Developed and maintained SQL Server based applications, Installed, configured and supported replication in both SQL 2005 and 2012, Performed regular monitoring of servers, Took responsibility of maintaining the SQL Server instances, Used MS ACCESS source environments to SQL Server destinations, Supervised code review of scripts and SSIS packages (2005) or DTS packages (2000) with developers, Advised developers in code optimization, Provided DBA support and technical expertise for multiple applications, Diagnosed errors in software and implemented solutions, Worked with developers to solve /fix issues of statistic observation data for SQL Server 2005, 2012 environments, Involved in ensuring data recovery, maintenance, data integrity, and space requirements for physical database, Created and Modified Tables, Stored Procedures, Views, Indexes, User-defined Functions, Involved in troubleshooting of various database server issues, Implemented SQL Server based solution to consolidate dozens of statistic data collection and reporting applications, Collaborated with analytic department and staff to capture, organize, analyze and report on data collected from statistic observations, Proactively monitored the database health through automated scripts for checking the database and extents growth, Participated in test plans development, Created test cases by analyzing design documents and business requirement documents, Wrote, maintained and executed test cases and regression scenarios for multiple web and mobile applications under test, Reviewed and analyzed requirements to build Requirement Traceability Matrix (RTM), Established traceability between application requirements and test cases, Planned, monitored and took control over the testing activities and release tasks, Estimated the testing deadlines and discussed with management the necessary resources, Analyzed specifications and assisted QA team in creating test data, test cases for Functional, Regression, Smoke and End-to-End testing, Identified the Scope of the testing required for a particular release based on the Requirement Documents, Reported issues into the bug tracking system Bugzilla and followed up with bugs until fully resolved, Created test results for each testing cycle and provided a test summary to all stake holders, within the team and management, Wrote complex SQL queries for back-end testing, Wrote and executed scripts using Selenium WebDriver with Java, Collected and analyzed logs for mobile applications using ADB command tool, Coordinated with IT leads, developers and system integration team to resolve various issues related to bug fixing, re-analyzing certain functionalities and providing creative feedbacks"
1048,"data migration, data modeling, database, SQL, stored procedures, Agile Scrum, Jira, Sql Server, Ssis, critical thinking"
1049,"Calculus Tutor, Database Administrator, Excel spreadsheets, Invoice management system, Data entry"
1050,"15+ years as a SQL Server DBA, 15+ years as a Microsoft Access Developer, 15+ years developing SSRS and MS Access Reports, Database Administration, Database Development, SQL Server, Microsoft Access, SSRS, SSIS, Windows Server Administration, Active Directory, DHCP/DNS, vSphere, PTC Windchill"
1051,"Oracle Database Administration, Linux System Administration, Performance Tuning, Data Integration, PL/SQL Development, Database Backup and Recovery, High Availability, Middleware Administration, ERP Support"
1052,"Manage critical SQL Server databases, Manage development and performance of SQL databases, Install and configure new SQL Server Services, Configure high availability and disaster recovery solution, Ensure database servers are backed up, Provide analysis and design support for production enhancements, Review and apply SQL Server Patches and hotfixes, Ensure TDE is actively enabled on all SQL Server databases, Monitor SQL Server performance, Develop new documentation and technical procedures, Recommend optimizations for production processes, Troubleshoot and resolve database issues, Perform Database Health check and Performance tuning, Provide 24x7 support for critical production systems"
1053,"Drilling Supervision, Sampling, Database Management, QA/QC, Geophysical Methods, Groundwater Evaluation, GIS Software, Drill Core Logging, Exploration Target Generation"
1054,"Oracle Database Administration, Database Monitoring and Tuning, RAC Configuration and Management, Data Guard Configuration and Management, Golden Gate Configuration and Management, SQL and PL/SQL Development, Shell Scripting, Linux and Unix Administration"
1055,"ADO, DATABASE ADMINISTRATION, DATABASE, ADO.NET, MICROSOFT SQL SERVER, DBA, Sql Database, Sql Server, Sql Dba"
1056,"Database developer, Increase proficiency of database functioning, Detail oriented with an understanding for data accuracy, Design databases to process large data sets, Create logic to verify & cleanup data while ensure integrity of database, Develop and maintain Access databases for multiple data operations projects, Prepare and execute data loads in SQL using SSIS and Stored Procedure, Create reports to track & manage progress, Designed Access databases for marketing department, Prepared reports for National and Government Accounts and Sales Leads, Created mailing lists for campaigns, Set up & monitored dealer website access, Analyzed data to determine areas to focus to improve reporting processes"
1057,"information technology, entrepreneurship, project management, supervision, general maintenance, problem solving, meeting tight deadlines, working on multiple projects, strong people skills, installing, maintaining, upgrading, testing, cleaning, making reservations, checking in guests, ringing up purchases, interacting with guests, offering suggestions, providing spiritual guidance, overseeing facility maintenance, landscaping, providing training, administration of ERP software, Microsoft SQL Servers, setting up maintenance plans, backing up databases, rebuilding indexes, updating statistics, cloning new database environments, managing department employees, managing budget, overseeing mission critical projects, upgrading ERP system, implementing SharePoint portal site, teaching training classes, developing SSIS packages, exporting and importing data, supervising annual ID carding event, providing quality assurance, developing standards for project migration, administering SQL Server security, developing business plan, securing financing, overseeing store layout and buildout, establishing business policies and procedures, getting to know customers, providing spiritual guidance, hiring, training, and supervising employees, responsible for quality control and auditing of corporate databases, ensuring accurate and appropriate data usage, developing database strategies to support company needs, working with monitoring group to establish backup, restoration and monitoring procedures, developing and maintaining documentation for desktop applications, installing and maintaining communication equipment, providing technical support to regional network administrators, administering and maintaining company Novell Netware and Microsoft Server networks, maintaining documentation on software installation procedures"
1058,"Senior Level Oracle Database Administrator, Senior UNIX/ Linux Systems Administrator, MySQL and MariaDb, Comfortable in multi-platform environments, Experience with large projects"
1059,"Accomplished IT Professional, Skilled Project Manager, Strong Background in Software Development Life Cycle, Experienced in Data Masking, Disaster Recovery, Data Security, Expertise in Agile Methodologies, DevOps, SOX Compliance, IT Audit, Supervised DBA Team, Led Cost Savings Initiatives, Provided Compliance and Security Support, Proactive Database Monitoring, Database and SQL Performance Tuning, Disaster Recovery Planning and Execution, Client Requirements Gathering, Training Sessions"
1060,"results driven, detailed oriented, follow detailed instructions, handle variety of tasks, efficient, expert at meeting deadlines, provide strategic direction, deploy tactical technical solutions, exceptional analytical skills, problem solving skills, committed team player, self-motivated, communicate at all levels"
1061,"Database Administrator, Programmer, Programmer Analyst"
1062,"Oracle DBA, SQL, PL/SQL, Unix, Windows, COBOL, ETL, Database Administration, Database Design, Database Tuning, Database Security, Database Backup and Recovery, Database Monitoring and Optimization, Database Migration and Upgrades, Database Scripting, Database Troubleshooting, Database Performance Tuning, Database Automation, Database Standardization, Database Auditing, Database Compliance, Database Disaster Recovery, Database High Availability, Database Replication, Database Partitioning, Database Indexing, Database Optimization, Database Security, Database Monitoring, Database Automation, Database Scripting, Database Troubleshooting, Database Performance Tuning, Database Backup and Recovery, Database Migration and Upgrades, Database Standardization, Database Auditing, Database Compliance, Database Disaster Recovery, Database High Availability, Database Replication, Database Partitioning, Database Indexing, Database Optimization"
1063,"DATABASE, LINUX, ORACLE, PL/SQL, RMAN"
1064,"Linux tasks, HTML, CSS, JavaScript, GNU and UNIX commands, Attention to detail, Patient and problem-solving, Presentation skills, Microsoft Office and Adobe Premier Pro, Troubleshoot and configure Windows"
1065,"creation of a Report Project Management system, managing all backups, network and server issues, vendor contracts, user PC acquisition and maintenance, implemented a VOIP phone system and a Lifesize Video conferencing system, key contributor in implementing a new accounting system (Dyanmics Great Plains), responsible for monitoring Project Office Servers as well as Data Center Servers, Administered ServiceNow, Carbonite DoubleTake, NetMotion, Dynamics CRM, SharePoint 2010"
1066,"Database Administration, Supervision and Training, Software Installation and Updates, Database Configuration, Network Monitoring, Antivirus and Backup Management, Employee Profile and Clearance Management, Computer System Audits, Encrypted Email Communication, Data Entry, Database Management"
1067,"SQL Server Installation, SQL Server Configuration, SQL Server Management, SQL Server Monitoring, SQL Server Troubleshooting, SQL Server Upgrading, SQL Server Migration, Database System Analysis, Database Design, Database Implementation, Database Administration, ETL, Data Warehousing, OLAP, AWS Cloud, Azure Cloud, VMware, T-SQL, Disaster Recovery, High Availability, Performance Tuning, Database Auditing, Transparent Data Encryption"
1068,".NET, ASP, MS SQL SERVER, SQL, SQL Server, DBA, Sql Database, Sql Dba, ETL, Ssis, SQL Server 2000-2005, PCI DSS compliance, Relational database design, Migration and implementation, Backup and disaster recovery, AJAX, HTML, DHTML, VBScript, JavaScript, T-SQL, COM objects, Cold Fusion, CSS, DTS, SSIS, HTML, DHTML, Cascading Style Sheets, Shockwave, VB Script, Access databases, Crystal Reports 7.0"
1069,"Oracle, Data Management, DataGuard, RAC, AWS, RHEL Linux, Oracle Applications, Oracle Application Server, Oracle Parallel Server, Oracle Web Application Server, Oracle Intelligent Agent Software, PL/SQL, Oracle Portal, RMAN, SQLnet, Oracle Application Express (APEX), Data Migration, Import/Export, ASM, Windows 2003/2008, Linux, Oracle 10g to 11g Migration, Shell Scripting, Data Encryption, Data Editing, Data Conversion, SQL Loader, Bulk Copy DTS over ODBC, Database Software Installation, Database Patching and Upgrades, User Management"
1070,"Database/software analysis, Development, Design, Database administration, Design, Normalization, Optimization, System development life cycle, Analysis, System design, Documentation, Testing"
1071,"Database Administration, Organizing Museum Artifacts, PCB Design, RTOS Programming, Electronics"
1072,"Series 65 License, Passed SIE Exam, Envestnet Tamarac, SharePoint and OneDrive, Excel, Word, PowerPoint and Outlook, CCH Axcess, MoneyGuide Pro, Problem Solver, Team Player, Strong Work Ethic"
1073,"Designed, developed, and maintained applications, Engineered CMS applications, Enhanced performance with custom Drupal Views SQL queries, Built custom Drupal modules, Managed AJAX asynchronous calls to APIs, Debugged issues using Xdebug and Devel, Implemented and maintained internal tools, Designed and developed MS SQL database, Managed MSNIA data warehouse, Supported SQL Server farms, Led architecture, development, and engineering of databases, Designed, built, and implemented Instructional Management System, Designed, built, and supported production OLTP databases, Provided near real-time complex metric reporting, Engineer and Technical Program Manager for customer apps, Designer, Engineer and Writer for client/server intranet app"
1074,"SQL Server administration, SSRS development, SSIS development, Database design, Database migration, Database performance tuning, Database security, Backup and recovery, Automation scripts, HA and DR solutions"
1075,"Full Stack Work, Wear Multiple Hats, Fast Quality Solutions, On Premise or Cloud, Proof of Concepts, Agile Development, Iterative Delivery, Diagnose Problems, Innovate Solutions, Manage Infrastructure, Data Pipelines, Data Quality, Actionable Insights, Tripled Compute Capacity, Removed Single Points of Failure, Virtualized Infrastructure, Implemented Cloud Data Warehouse, Upgraded BI/Analytics Platform, Automated Analytics, Enhanced Security and Access Control, CCPA Compliance, Trained Junior Team Members, Worked with APIs, Ingested Clickstream, Google Analytics, Google Ads, CRM, Transactional Data"
1076,"Robotic Process Automation, Business Process Automation, Business Analysis, Software Testing, Agile, Waterfall, Business Process Modeling, SQL Server, Oracle, VB.Net, SharePoint, Machine Learning, Data Mining, Database Administration, Database Tuning, Windows Server, IIS Administration, Electronic Health Records"
1077,"Data Analyst, Database Administration, Data Conversion, Data Migration, Information Systems Management, SQL, Data Testing, Data Warehousing, Usability Testing, Data Mining, Data Quality, Transact SQL, SDLC, Database Management, Microsoft Access, SSIS, SSRS"
1078,"Oracle Applications Database Administration, Oracle Database Administration, Upgrading and Migrating Oracle Applications, Implementing Single Sign-On, Configuring Oracle Enterprise Manager, Cloning Oracle Applications Environments, Configuring Oracle Identity Management, Implementing Disaster Recovery Solutions, Automating Patching Processes, Expertise in Oracle Fusion Middleware"
1079,"Database, Security, Infrastructure management, It infrastructure, Cloning"
1080,"PHP and MySQL query, Student registration report, Classes enrollment status, Student payments reports, Update and insert student table, Backup and restore databases, Troubleshoot computer hardware and software, Update and maintain school official web site, Install and maintain MySQL servers, Install, configure, maintain and restore Linux servers, Install, configure and operate VNC, Install, configure and maintain Cadence layout Design tool, Maintain computer lab and network, Google apps administrator, Install, configure and maintain file sharing and printing servers, Software and hardware troubleshooting, Provide technical support, Manage and maintain campus entrance and security camera system"
1081,"Pricing business partner, Key partner and advisor, Point of Contact, Integrated legacy practices, Participated in annual price review cycle, Lead continuous improvement, Initiated hands-on training, Superuser for numerous projects, Key partner with Sales and Marketing, Teamed with Product Marketing, Collaborated with Finance, Lead the publication of annual price lists, Team Lead for Global customer service department, Executed US Government Export License applications"
